,category_name,name_short,sum_quantity
0,Пакеты п/э,Крафт-пакет бумажный,810424.0
1,Спецодежда,Маска защитная спанбонд,479100.0
2,Крепеж,Уголок крепежный усиленный оцинкованный,380722.0
3,Крепеж,Уголок крепежный равносторонний KUR Инте,363856.0
4,Крепеж Вимос,Шуруп для гипсокартона для дерев. каркас,180697.0
5,Крепеж,Крепление универсальное оцинкованное ПП1,133490.0
6,Пакеты п/э,Пакет п/э Вимос 35х65 (СПб),132512.0
7,Крепеж,Уголок бытовой оцинкованный 40х40х15х1.5,131298.0
8,Пакеты п/э,Пакет п/э Вимос 65х50х40см,124862.0
9,Тросы,Трос стальной 1мм 4562 Стройбат,113090.12
10,Погонаж деревянный,Штапик дер. Макси-Лес ГОСТ Экстра 10мм 1,94332.0
11,Крепеж,Уголок бытовой оцинкованный 25х25х14х1.5,82494.0
12,Тросы,Трос стальной в оболочке PVC 3/4мм 5186,81867.64
13,Пакеты п/э,Сумка объемная из нетканного материала с,76192.0
14,Крепеж,Уголок крепежный оцинкованный 40х40х20х2,71590.0
15,Саморезы универсальные,Саморез универсальный Tech-Krep оцинк.ШУ,69422.0
16,Крепеж,Крепление универсальное оцинкованное ПП2,68455.0
17,Саморезы универсальные,Саморез универсальный Tech-Krep желтый Ш,65883.0
18,Крепеж,Уголок бытовой оцинкованный 30х30х14х1.5,65550.0
19,Погонаж деревянный,Штапик дер. Макси-Лес ГОСТ Экстра 10мм 0,65299.0
20,Саморезы - гипсокартон-дерево,Шуруп конструкционный  для дерева  потай,62385.0
21,"Дрова,брикеты топливные",Брикеты топливные RUF 10 кг хвоя,61837.0
22,"Шнуры, веревки, канаты, шпагаты","Шнур хоз.быт. без сердечника 5,0мм белый",60897.2
23,Тросы,Трос стальной в оболочке PVC 5/7мм 11543,57993.4
24,Тросы,Трос стальной в оболочке PVC 4/6мм 5189,56245.12
25,Саморезы - гипсокартон-дерево,Шуруп конструкционный для дерева прессша,50733.0
26,"Шнуры, веревки, канаты, шпагаты","Шнур хоз.быт. без сердечника 4,0мм черны",49557.6
27,Грунты Вимос,Грунт плодородный Вимос универсальный 50,48861.0
28,Тросы,Трос стальной в оболочке PVC 3/5мм 11541,47931.68
29,"Шнуры, веревки, канаты, шпагаты","Шнур хоз.быт. без сердечника 4,0мм белый",47898.5
30,Тросы,Трос стальной 2мм 5499 Стройбат,47637.56
31,Тросы,Трос стальной 5мм 4813 Стройбат,47296.4
32,Крепеж,Уголок крепежный усиленный Интерон 90х90,47049.0
33,Крепеж,Уголок крепежный оцинкованный 90х90х65х,46992.0
34,Тросы,Трос стальной 3мм 4815 Стройбат,46328.2
35,"Перчатки, рукавицы",Перчатки х/б с ПВХ черные 0019/а,45185.0
36,Крепеж,Уголок крепежный усиленный 50х50х36х2мм,45154.0
37,Крепеж,Уголок крепежный оцинкованный 40х40х40х,42890.0
38,Трубы и фитинги из полипропилена,Уголок PPRC 20x90град. КРОСС,42702.0
39,Крепеж,Уголок крепежный оцинкованный 70х70х55х,42156.0
40,Тросы,Трос стальной в оболочке PVC 2/3мм 6674,41869.76
41,"Утеплители, пленки технические",Пленка п/э 80мк рукав 1.5м,41724.1
42,Крепеж,"Пластина крепежная оцинкованная 80х40х1,",39488.0
43,"Панели потолочные, плинтуса, розетки",Плинтус потолочный полистирол экструдиро,37482.0
44,Крепеж,Опора скользящая стропил N2 оцинкованная,36726.0
45,"Шнуры, веревки, канаты, шпагаты","Шнур хоз.быт. с сердечником 4,0мм белый",36694.1
46,Крепеж,"Подвес прямой 300*27*0,6",36499.0
47,Крепеж,Крепление универсальное с ушами ПП3 60х3,36266.0
48,Крепеж,Уголок бытовой 50х50х15х1.5мм оцинкованн,35493.0
49,Канцелярские товары,Набор: циркуль. ластик и грифели 12536,35433.0
50,Крепеж,Уголок крепеж. равносторонний KUR 40х40х,35284.0
51,Погонаж деревянный,Рейка дер. МаксиЛес строганная Экстра 15,35036.0
52,Крепеж,Уголок крепежный усиленный 130х130х100мм,33985.0
53,"Кабель, шнуры эл.",Провод ГОСТ ПВС 3х0.75 Б,33643.98
54,Мешки для мусора,Мешок полипропиленовый зеленый 55х95см 1,33549.0
55,Тросы,Трос стальной 6мм 4561 Стройбат,33162.6
56,Крепеж,Уголок крепежный усиленный Интерон 105х1,32978.0
57,"Перчатки, рукавицы",Перчатки х/б с латексным покрытием 2й об,32786.0
58,Тросы,Трос стальной 4мм 4814 Стройбат,32472.6
59,Крепеж,Уголок крепежный Интерон 50х50х36мм,31486.0
60,Мешки для мусора,Мешок для мусора полипропиленовый 55х105,31389.0
61,"Перчатки, рукавицы",Перчатки одинарный облив 0526,31265.0
62,"Шнуры, веревки, канаты, шпагаты","Шнур плотн. с сердечником 6,0мм белый",31015.14
63,Хозяйственные товары для дома,Коробка картонная 500х380х300 мм,30264.0
64,Крепеж,Уголок крепежный для стропильных соедине,30009.0
65,"Кабель, шнуры эл.",Кабель ГОСТ АВВГ 2х2.5,29492.9
66,Крепеж,Пластина крепежная оцинкованная 100х35х2,28635.0
67,Коробки электроустановочные,Подроз.д/бетонных стен GUSI  Standart (d,28539.0
68,Крепеж,Уголок крепежный оцинкованный 50х50х35х2,27861.0
69,"Утеплители, пленки технические","Пленка п/эт 60мк рукав 1,5м",27843.6
70,Крепеж,Уголок бытовой оцинкованный 65х80х20х2.0,27783.0
71,"Утеплители, пленки технические",Пленка п/э парниковая 100мк рукав 1.5м,27470.38
72,"Утеплители, пленки технические","Пленка п/э парниковая 120мк рукав 1,5м",27141.72
73,Крепеж,Уголок бытовой 100х100х20х2мм оцинкованн,27063.0
74,Крепеж,Пластина крепежная Интерон 100х36мм,26926.0
75,"Шнуры, веревки, канаты, шпагаты","Шнур плотн. с сердечником 6,0мм черный",26773.8
76,"Утеплители, пленки технические","Пленка п/э парниковая 200мк рукав 1,5м",26675.88
77,Лампы накаливания,Лампа накаливания Б 60вт Е27 гофр.,26504.0
78,Крепеж,Пластина соединительная 40*80*2,26359.0
79,Утеплители для труб,Теплоизоляция для труб ENERGOFLEX SUPER,26317.0
80,Погонаж деревянный,Плинтус дер. МаксиЛес ГОСТ Экстра 44мм 2,26058.0
81,"Кабель, шнуры эл.",Кабель ГОСТ АВВГ 2х4.0,26053.3
82,Тросы,Трос стальной в оболочке PVC 2/4мм 11539,25528.16
83,Крепеж,Пластина крепежная 120х40х2.0мм. оцинков,25519.0
84,Погонаж деревянный,"Наличник дер. МаксиЛес Экстра 70мм 2,2м",25387.0
85,Лампы накаливания,Лампа накаливания Б 75вт Е27 гофр.,25380.0
86,Крепеж,Уголок бытовой оцинкованный 60х60х20х2.0,24880.0
87,Крепеж,Пластина соединительная 40*100*2,24849.0
88,Коробки электроустановочные,Подроз.д/бетон.стен GUSI Standart d=60мм,24836.0
89,Крепеж,Уголок крепежный ассиметричный Интерон 1,24653.0
90,Лампы накаливания,Лампа накаливания Б 40вт Е27 гофр.,24476.0
91,Крепеж,Уголок бытовой оцинкованный 125х125х20х2,24475.0
92,Крепеж,Уголок крепежный Интерон 105х105х90мм,24390.0
93,Лампы накаливания,Лампа накаливания Б 95вт Е27 гофр.,24313.0
94,Крепеж,Пластина соединительная Интерон 50х200мм,24167.0
95,Канцелярские товары,Калькулятор мини 13781,24096.0
96,Саморезы - гипсокартон-дерево,Шуруп для гипсокарт. для дерев. каркаса,23823.0
97,Трубы и фитинги из полипропилена,Уголок PPRC 25x90град. КРОСС,23817.0
98,Крепеж,Уголок крепежный 50х50х36х1.8,23545.0
99,"Круги, диски",Круг отрезной по стали TIGARBO 115*1.0*2,23288.0
